Season,HomeTeam,AwayTeam,home_rest_days_all,away_rest_days_all,home_matches_last_14_all,away_matches_last_14_all,home_played_euro_last_5,away_played_euro_last_5,diff_rest_days_all,diff_matches_last_14_all,diff_played_euro_last_5
2016_2017,Burnley,Swansea,,,0,0,0,0,,0,0
2016_2017,Crystal Palace,West Brom,,,0,0,0,0,,0,0
2016_2017,Everton,Tottenham,,,0,0,0,0,,0,0
2016_2017,Hull,Leicester,,,0,0,0,0,,0,0
2016_2017,Man City,Sunderland,,,0,0,0,0,,0,0
2016_2017,Middlesbrough,Stoke,,,0,0,0,0,,0,0
2016_2017,Southampton,Watford,,,0,0,0,0,,0,0
2016_2017,Arsenal,Liverpool,,,0,0,0,0,,0,0
2016_2017,Bournemouth,Man United,,,0,0,0,0,,0,0
2016_2017,Chelsea,West Ham,,,0,0,0,0,,0,0
2016_2017,Man United,Southampton,5.0,6.0,1,1,0,0,-1.0,0,0
2016_2017,Burnley,Liverpool,7.0,6.0,1,1,0,0,1.0,0,0
2016_2017,Leicester,Arsenal,7.0,6.0,1,1,0,0,1.0,0,0
2016_2017,Stoke,Man City,7.0,7.0,1,1,0,0,0.0,0,0
2016_2017,Swansea,Hull,7.0,7.0,1,1,0,0,0.0,0,0
2016_2017,Tottenham,Crystal Palace,7.0,7.0,1,1,0,0,0.0,0,0
2016_2017,Watford,Chelsea,7.0,5.0,1,1,0,0,2.0,0,0
2016_2017,West Brom,Everton,7.0,7.0,1,1,0,0,0.0,0,0
2016_2017,Sunderland,Middlesbrough,8.0,8.0,1,1,0,0,0.0,0,0
2016_2017,West Ham,Bournemouth,6.0,7.0,1,1,0,0,-1.0,0,0
2016_2017,Chelsea,Burnley,4.0,3.0,3,3,0,0,1.0,0,0
2016_2017,Crystal Palace,Bournemouth,4.0,3.0,3,3,0,0,1.0,0,0
2016_2017,Everton,Stoke,4.0,4.0,3,3,0,0,0.0,0,0
2016_2017,Hull,Man United,4.0,8.0,3,2,0,0,-4.0,1,0
2016_2017,Leicester,Swansea,7.0,4.0,2,3,0,0,3.0,-1,0
2016_2017,Southampton,Sunderland,8.0,3.0,2,3,0,0,5.0,-1,0
2016_2017,Tottenham,Liverpool,7.0,4.0,2,3,0,0,3.0,-1,0
2016_2017,Watford,Arsenal,4.0,7.0,3,2,0,0,-3.0,1,0
2016_2017,Man City,West Ham,8.0,7.0,1,2,0,0,1.0,-1,0
2016_2017,West Brom,Middlesbrough,5.0,4.0,2,2,0,0,1.0,0,0
2016_2017,Arsenal,Southampton,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,Bournemouth,West Brom,14.0,13.0,1,1,0,0,1.0,0,0
