Season,Date,HomeTeam,AwayTeam,home_xg_xg_for_last_5,home_xg_xg_against_last_5,home_xg_xg_diff_last_5,home_xg_xg_for_last_10,home_xg_xg_against_last_10,home_xg_xg_diff_last_10,home_xg_xg_perf_for_last_10,home_xg_xg_perf_against_last_10,home_xg_season_xg_for_pm,home_xg_season_xg_against_pm,home_xg_season_xg_diff_pm,away_xg_xg_for_last_5,away_xg_xg_against_last_5,away_xg_xg_diff_last_5,away_xg_xg_for_last_10,away_xg_xg_against_last_10,away_xg_xg_diff_last_10,away_xg_xg_perf_for_last_10,away_xg_xg_perf_against_last_10,away_xg_season_xg_for_pm,away_xg_season_xg_against_pm,away_xg_season_xg_diff_pm,diff_xg_xg_for_last_5,diff_xg_xg_against_last_5,diff_xg_xg_diff_last_5,diff_xg_xg_for_last_10,diff_xg_xg_against_last_10,diff_xg_xg_diff_last_10,diff_xg_xg_perf_for_last_10,diff_xg_xg_perf_against_last_10,diff_xg_season_xg_for_pm,diff_xg_season_xg_against_pm,diff_xg_season_xg_diff_pm,understat_home_prob,understat_draw_prob,understat_away_prob,home_elo,away_elo,elo_diff,elo_expected_home,home_squad_value_m,home_value_rank,home_value_share,away_squad_value_m,away_value_rank,away_value_share,value_diff_m,value_rank_diff,value_log_ratio
2016_2017,2016-08-13,Burnley,Swansea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.289,0.549,1639.70959473,1690.8269043,-51.11730957000009,0.4269625207273001,107.18,20,0.0182,157.1,14,0.0267,-49.91999999999999,-6,-0.38237288119487123
2016_2017,2016-08-13,Crystal Palace,West Brom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429,0.336,0.235,1636.53991699,1648.24841309,-11.708496100000048,0.4831564953967251,228.43,10,0.0389,123.2,19,0.021,105.23,9,0.6174207665683589
2016_2017,2016-08-13,Everton,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,0.332,0.436,1697.95812988,1807.02319336,-109.06506348000016,0.3480029743432595,311.25,7,0.0529,543.65,3,0.0925,-232.39999999999998,-4,-0.5577092096648409
2016_2017,2016-08-13,Hull,Leicester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,0.125,0.822,1591.83911133,1814.43371582,-222.59460449000017,0.2173192279580217,135.85,15,0.0231,218.65,11,0.0372,-82.80000000000001,-4,-0.47592094198657287
2016_2017,2016-08-13,Man City,Sunderland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598,0.251,0.151,1851.33642578,1658.3269043,193.00952147999988,0.7523252066116466,576.5,2,0.0981,132.0,16,0.0225,444.5,14,1.4741734171227427
2016_2017,2016-08-13,Middlesbrough,Stoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.788,0.162,0.049,1597.75341797,1684.58190918,-86.82849120999981,0.3775818014938499,128.8,18,0.0219,186.0,12,0.0316,-57.19999999999999,-6,-0.367485860042948
2016_2017,2016-08-13,Southampton,Watford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542,0.392,0.066,1781.29345703,1626.64904785,154.6444091799999,0.7089324297968488,263.75,9,0.0449,175.65,13,0.0299,88.1,4,0.40650830607844013
2016_2017,2016-08-14,Arsenal,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,0.286,0.475,1842.85192871,1802.98962402,39.862304689999974,0.5571160689254546,542.0,4,0.0922,425.65,6,0.0724,116.35000000000002,2,0.24164858910958018
2016_2017,2016-08-14,Bournemouth,Man United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.159,0.786,1622.66186523,1791.51696777,-168.85510253999996,0.2744804252906543,131.6,17,0.0224,531.45,5,0.0904,-399.85,-12,-1.395842101088374
2016_2017,2016-08-15,Chelsea,West Ham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686,0.236,0.078,1795.97900391,1727.61560059,68.36340332000009,0.5971325181454042,686.7,1,0.1168,273.05,8,0.0464,413.65000000000003,7,0.9222425870284681
2016_2017,2016-08-19,Man United,Southampton,1.911,0.523,1.388,1.911,0.523,1.388,1.089,0.477,1.911,0.5230000000000001,1.388,0.937,0.18,0.7570000000000001,0.937,0.18,0.7570000000000001,0.06299999999999994,0.8200000000000001,0.937,0.17999999999999994,0.7570000000000001,0.974,0.343,0.6309999999999998,0.974,0.343,0.6309999999999998,1.026,-0.3430000000000001,0.974,0.3430000000000002,0.6309999999999998,0.602,0.271,0.127,1800.26965332,1777.11254883,23.157104490000165,0.5332764907515518,531.45,5,0.0904,263.75,9,0.0449,267.70000000000005,4,0.7006074351893146
2016_2017,2016-08-20,Burnley,Liverpool,1.049,1.721,-0.6720000000000002,1.049,1.721,-0.6720000000000002,-1.049,-0.7210000000000001,1.049,1.721,-0.6720000000000002,1.659,1.182,0.4770000000000001,1.659,1.182,0.4770000000000001,2.341,1.818,1.6589999999999998,1.182,0.4770000000000001,-0.6100000000000001,0.5390000000000001,-1.1490000000000002,-0.6100000000000001,0.5390000000000001,-1.1490000000000002,-3.39,-2.539,-0.6099999999999999,0.5390000000000001,-1.1490000000000002,0.072,0.373,0.555,1632.59326172,1814.90783691,-182.3145751899999,0.2593236119887188,107.18,20,0.0182,425.65,6,0.0724,-318.46999999999997,-14,-1.3791077482633618
2016_2017,2016-08-20,Leicester,Arsenal,2.456,0.74,1.716,2.456,0.74,1.716,-1.456,1.26,2.4559999999999995,0.74,1.716,1.182,1.659,-0.4770000000000001,1.182,1.659,-0.4770000000000001,1.818,2.341,1.182,1.659,-0.4770000000000001,1.274,-0.919,2.193,1.274,-0.919,2.193,-3.274,-1.0810000000000002,1.2739999999999996,-0.919,2.193,0.292,0.449,0.26,1803.46594238,1833.49914551,-30.033203130000174,0.4568860797211643,218.65,11,0.0372,542.0,4,0.0922,-323.35,-7,-0.9077937235807166
2016_2017,2016-08-20,Stoke,Man City,0.486,1.805,-1.319,0.486,1.805,-1.319,0.514,-0.8049999999999999,0.486,1.8050000000000002,-1.319,1.955,1.099,0.8560000000000001,1.955,1.099,0.8560000000000001,0.04499999999999993,-0.09899999999999998,1.9550000000000005,1.0990000000000002,0.8560000000000001,-1.469,0.706,-2.175,-1.469,0.706,-2.175,0.4690000000000001,-0.706,-1.4690000000000005,0.706,-2.175,0.143,0.255,0.602,1685.0480957,1859.20532227,-174.15722656999992,0.2684443656872139,186.0,12,0.0316,576.5,2,0.0981,-390.5,-10,-1.1312286659959125
