Season,Team,squad_value_m,value_rank,value_share
2016_2017,Chelsea,686.7,1,0.1168
2016_2017,Man City,576.5,2,0.0981
2016_2017,Tottenham,543.65,3,0.0925
2016_2017,Arsenal,542.0,4,0.0922
2016_2017,Man United,531.45,5,0.0904
2016_2017,Liverpool,425.65,6,0.0724
2016_2017,Everton,311.25,7,0.0529
2016_2017,West Ham,273.05,8,0.0464
2016_2017,Southampton,263.75,9,0.0449
2016_2017,Crystal Palace,228.43,10,0.0389
2016_2017,Leicester,218.65,11,0.0372
2016_2017,Stoke,186.0,12,0.0316
2016_2017,Watford,175.65,13,0.0299
2016_2017,Swansea,157.1,14,0.0267
2016_2017,Hull,135.85,15,0.0231
2016_2017,Sunderland,132.0,16,0.0225
2016_2017,Bournemouth,131.6,17,0.0224
2016_2017,Middlesbrough,128.8,18,0.0219
2016_2017,West Brom,123.2,19,0.021
2016_2017,Burnley,107.18,20,0.0182
2017_2018,Man City,1010.0,1,0.1248
2017_2018,Chelsea,884.25,2,0.1093
2017_2018,Liverpool,857.5,3,0.106
2017_2018,Man United,849.5,4,0.105
2017_2018,Tottenham,829.6,5,0.1025
2017_2018,Arsenal,694.0,6,0.0858
2017_2018,Everton,381.25,7,0.0471
2017_2018,Leicester,304.25,8,0.0376
2017_2018,Southampton,297.0,9,0.0367
2017_2018,West Ham,268.1,10,0.0331
2017_2018,Crystal Palace,220.73,11,0.0273
2017_2018,Newcastle,208.28,12,0.0257
2017_2018,Watford,196.0,13,0.0242
2017_2018,Stoke,192.45,14,0.0238
2017_2018,Burnley,169.3,15,0.0209
2017_2018,West Brom,165.95,16,0.0205
2017_2018,Swansea,165.49,17,0.0205
2017_2018,Brighton,148.2,18,0.0183
2017_2018,Bournemouth,144.5,19,0.0179
2017_2018,Huddersfield,106.05,20,0.0131
2018_2019,Man City,1200.0,1,0.1224
2018_2019,Liverpool,1170.0,2,0.1193
2018_2019,Chelsea,1170.0,3,0.1193
2018_2019,Tottenham,898.6,4,0.0916
