2016-09-15	Feyenoord	Manchester-United
2016-09-15	Southampton	Sparta-Prague
2016-09-29	Hapoel-Beer-Sheva-FC	Southampton
2016-09-29	Manchester-United	Zorya-Luhansk
2016-10-20	Internazionale	Southampton
2016-10-20	Manchester-United	Fenerbahce
2016-11-03	Southampton	Internazionale
2016-11-03	Fenerbahce	Manchester-United
2016-11-24	Sparta-Prague	Southampton
2016-11-24	Manchester-United	Feyenoord
2016-12-08	Southampton	Hapoel-Beer-Sheva-FC
2016-12-08	Zorya-Luhansk	Manchester-United
2017-02-16	Gent	Tottenham-Hotspur
2017-02-16	Manchester-United	Saint-Etienne
2017-02-22	Saint-Etienne	Manchester-United
2017-02-23	Tottenham-Hotspur	Gent
2017-03-09	Rostov	Manchester-United
2017-03-16	Manchester-United	Rostov
2017-04-13	Anderlecht	Manchester-United
2017-04-20	Manchester-United	Anderlecht
2017-05-04	Celta-Vigo	Manchester-United
2017-05-11	Manchester-United	Celta-Vigo
2017-05-24	Ajax	Manchester-United
